Complex,Complex Size,Leiden Jaccard,Leiden N_shared,Leiden Best Comm Size,Louvain Jaccard,Louvain N_shared,Louvain Best Comm Size,Label Propagation Jaccard,Label Propagation N_shared,Label Propagation Best Comm Size,SBM (Spectral proxy) Jaccard,SBM (Spectral proxy) N_shared,SBM (Spectral proxy) Best Comm Size,Clique Percolation Jaccard,Clique Percolation N_shared,Clique Percolation Best Comm Size,Consensus Jaccard,Consensus N_shared,Consensus Best Comm Size,MCL (XGW baseline) Jaccard,MCL (XGW baseline) N_shared,MCL (XGW baseline) Best Comm Size
"1,3-beta-glucan synthase complex (Fks1p/Rho1p)",2,0.0043,2,467,0.0192,1,51,0.0005,2,3840,0.0004,2,4540,0.6667,2,3,0.0029,2,690,0.0,0,0
"1,3-beta-glucan synthase complex (Gsc2p/Smk1p)",2,0.0021,1,467,0.0022,1,451,0.0005,2,3840,0.0004,2,4540,0.0005,1,1869,0.0014,1,690,0.125,1,7
"Arg2p/Arg5,6p complex",2,0.0084,2,239,0.0064,2,312,0.0,0,0,0.0004,2,4540,0.0,0,0,0.005,2,399,0.0,0,0
"Cytochrome bc1 complex (Ubiquinol-cytochrome c reductase complex, complex III)",10,0.0053,1,180,0.0063,1,151,0.0016,6,3840,0.0015,7,4540,0.0833,1,3,0.0029,1,340,0.1818,2,3
"H+-transporting ATPase, Golgi",13,0.0221,6,265,0.0307,9,289,0.0075,3,389,0.0029,13,4540,0.0667,1,3,0.0122,6,486,0.4667,7,9
"H+-transporting ATPase, vacuolar",13,0.0221,6,265,0.0307,9,289,0.0075,3,389,0.0029,13,4540,0.0667,1,3,0.0122,6,486,0.375,6,9
"actin cytoskeleton-regulatory complex, Pan1p/Sla1p/End3p complex",3,0.01,2,199,0.0058,2,345,0.0008,3,3840,0.0007,3,4540,0.0016,3,1869,0.0042,2,477,0.1667,2,11
"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)",4,0.0167,4,239,0.0059,2,335,0.001,4,3840,0.0009,4,4540,0.8,4,5,0.0041,2,483,1.0,4,4
"alpha-1,6-mannosyltransferase complex(Anp1p/Mnn9p)",5,0.0088,4,451,0.0082,4,487,0.3333,4,11,0.0011,5,4540,0.6667,4,5,0.0086,4,462,0.8,4,4
"alpha-1,6-mannosyltransferase complex(Van1p/Mnn9p)",2,0.0038,1,265,0.0034,1,289,0.0005,2,3840,0.0004,2,4540,0.0005,1,1869,0.0021,1,486,0.0,0,0
19/22S regulator,22,0.116,21,180,0.0259,21,809,0.04,1,4,0.0048,22,4540,0.0417,1,3,0.0235,21,892,0.3214,9,15
20S proteasome,14,0.0778,14,180,0.0977,13,132,0.0036,14,3840,0.0031,14,4540,0.0625,1,3,0.0272,13,477,0.2667,4,5
6-phosphofructokinase complex,2,0.0025,2,792,0.0025,2,809,0.0005,2,3840,0.0004,2,4540,0.0011,2,1869,0.0022,2,892,0.0,0,0
AP-1 adaptor complex,5,0.0113,4,353,0.0108,4,368,0.0013,5,3840,0.0011,5,4540,1.0,5,5,0.0098,4,408,0.8,4,4
AP-2 adaptor complex,4,0.0123,3,242,0.0096,3,310,0.001,4,3840,0.0009,4,4540,1.0,4,4,0.0088,3,340,1.0,4,4
