ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-25N|refseq:NP_012903|uniprotkb:P09798	DIP-25N|refseq:NP_012903|uniprotkb:P09798	-	-	-	-	MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)	-	pubmed:7925276|pubmed:DIP-246S|pubmed:7925276|pubmed:DIP-246S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-137E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-343N|refseq:NP_009971|uniprotkb:P23255	DIP-80N|refseq:NP_523805|uniprotkb:P20227	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:8178153|pubmed:DIP-31S|pubmed:8178153|pubmed:DIP-31S	taxid:4932(Saccharomyces cerevisiae)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-163E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-551N|refseq:NP_012231|uniprotkb:P07278	DIP-548N|refseq:NP_012371|uniprotkb:P06244	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)|MI:0254(genetic interference)|MI:0045(experimental interaction detection)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:16924114|pubmed:DIP-17259S|pubmed:16924114|pubmed:DIP-17259S|pubmed:11283351|pubmed:DIP-1102S|pubmed:10688190|pubmed:DIP-513S|pubmed:8386630|pubmed:DIP-284S|pubmed:8386630|pubmed:DIP-284S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0218(physical interaction)|MI:0254(genetic interference)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-244E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)		-
DIP-18N|refseq:NP_010765|uniprotkb:P06782	DIP-780N|refseq:NP_014142|uniprotkb:P38717	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8127709|pubmed:DIP-255S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-436E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1104N|refseq:NP_013826|uniprotkb:P07342	DIP-671N|refseq:NP_009918|uniprotkb:P25605	 -	-	-	-	MI:0013(biophysical)|MI:0071(molecular sieving)|MI:0013(biophysical)	-	pubmed:10213630|pubmed:DIP-2092S|pubmed:11463345|pubmed:DIP-2091S|pubmed:11463345|pubmed:DIP-2091S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-125E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-262N|refseq:NP_014682|uniprotkb:P38930	DIP-48N|refseq:NP_012229|uniprotkb:P15790	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)|MI:0676(tandem affinity purification)	-	pubmed:7768894|pubmed:DIP-339S|pubmed:10688190|pubmed:DIP-513S|pubmed:11805837|pubmed:DIP-1767S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-256E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-681N|refseq:NP_014069|uniprotkb:P32561	DIP-150N|refseq:NP_003394|uniprotkb:P25490	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:8917507|pubmed:DIP-447S	taxid:4932(Saccharomyces cerevisiae)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-20E	dip-quality-status:core	dip:0002(small scale)		-
DIP-785N|refseq:NP_011062|uniprotkb:P39958	DIP-372N|uniprotkb:P20338	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9184135|pubmed:DIP-381S	taxid:4932(Saccharomyces cerevisiae)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-29E	dip-quality-status:core	dip:0002(small scale)		-
DIP-13N|refseq:NP_010177|uniprotkb:P07269	DIP-142N|refseq:NP_013025|uniprotkb:P22035	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:11095676|pubmed:DIP-1803S|pubmed:10931295|pubmed:DIP-1790S|pubmed:11689683|pubmed:DIP-1858S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-51E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-962N|refseq:NP_014432|uniprotkb:P50278	DIP-760N|refseq:NP_012717|uniprotkb:P33418	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:8725220|pubmed:DIP-378S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-52E	dip-quality-status:core	dip:0002(small scale)		-
