METHOD,ITER,LOG_LOSS,BRIER_SCORE,PR_AUC
SWC,0,0.1097081895106932,0.015287951128411043,0.39066439608038583
XGW,0,0.0401285584223935,0.010560895138174913,0.6684218509682314
TOPO,0,0.36194754633249304,0.01904668333893084,0.31639707691871893
TOPO_L2,0,0.6239566386687282,0.027863571325496085,0.028737602003855896
STRING,0,0.6701598303196384,0.18183556624862302,0.31250631732193057
CO_OCCUR,0,0.25639336830558496,0.018066618353597318,0.16684332756595152
REL,0,0.5237823520824262,0.02547508309473982,0.1379202521411203
CO_EXP,0,0.5781039503065505,0.15104353204086618,0.04789236012064383
GO_CC,0,0.22617862987881493,0.05332949709954562,0.7781633252260117
GO_BP,0,0.37557130264475475,0.07698137301793945,0.14766315496141486
GO_MF,0,0.9690007376741022,0.04656789007219133,0.4959729590919675
ALL,0,0.14090132298997568,0.026974032799368823,0.6704770574861791
GO_SS,0,0.18063050017893675,0.04155868900618274,0.6760812341712061
TOPOS,0,0.24897157455577004,0.01790951517480453,0.3260376615579198
ASSOC,0,0.17299606040262192,0.042951210340226156,0.201377114048383
TOPO_GO,0,0.1410816196622096,0.028244063780019233,0.7246749589350421
TOPO_CO_EXP,0,0.24051984210850624,0.04937216739157395,0.1929566455366742
TOPO_GO_CO_EXP,0,0.16832367295154452,0.036033382756473616,0.6919817130204657
UNWEIGHTED,0,7.118406729731077,0.19749404015410862,0.29898254764808513
SWC,1,0.10782990964960203,0.015357429562134829,0.37576143632933734
XGW,1,0.0330420195316353,0.009716379296511991,0.7019498997084421
TOPO,1,0.3610583298133477,0.018939753146459105,0.3116540558653039
TOPO_L2,1,0.6100036681354128,0.02747742941229217,0.028892080949453988
STRING,1,0.6703478840975272,0.18190307294915717,0.30305570186593866
CO_OCCUR,1,0.25314086701874994,0.017750553115833144,0.16319165873911934
REL,1,0.5203357638034416,0.025279041067995524,0.13536869031824106
CO_EXP,1,0.5770574720976015,0.15096762923025756,0.04732470823813112
GO_CC,1,0.22667344941734435,0.05334897000726756,0.772801661449944
GO_BP,1,0.3762002084925372,0.07702523920832406,0.12735201185378267
GO_MF,1,0.9658697986827988,0.04646019766834369,0.5002753520327202
ALL,1,0.14072903469131823,0.026901014854699843,0.6611587297526162
GO_SS,1,0.18107132217900251,0.04156451550212659,0.6685355140421616
TOPOS,1,0.24796330188884008,0.017686003301289572,0.3221971969061241
ASSOC,1,0.17301928318148552,0.04285730535471722,0.19667495865295387
TOPO_GO,1,0.14134325167432338,0.028232046449574576,0.7158257632421273
TOPO_CO_EXP,1,0.24037318314976805,0.04926582122478283,0.18708456057065187
TOPO_GO_CO_EXP,1,0.16856550107765658,0.03601006088877428,0.6832140124770185
UNWEIGHTED,1,7.120502686794423,0.19755219067067037,0.29373820095423864
SWC,2,0.0984419762497079,0.015157254592257752,0.38333171829335516
XGW,2,0.027099297041597806,0.006710534461998222,0.8096168783204902
TOPO,2,0.35812910375729456,0.018827304562164277,0.31436538211431764
TOPO_L2,2,0.6082773327212376,0.027392406820688473,0.02758716391459733
STRING,2,0.6684124453348407,0.18187480872086106,0.30281987774315844
CO_OCCUR,2,0.25062054249807536,0.017644132180966807,0.16055097230433693
REL,2,0.5156095473539465,0.02508527532573247,0.1394480943038603
CO_EXP,2,0.5722669322594253,0.15078200321031462,0.0474154204250881
GO_CC,2,0.22664444515676466,0.05334500422763358,0.7733614032903883
GO_BP,2,0.37491254719667194,0.07684764163271599,0.1531150124056004
GO_MF,2,0.9524130317869054,0.04607152238155847,0.5101611550430024
ALL,2,0.1404098326409994,0.026758034687278612,0.6778165443562623
GO_SS,2,0.1806651384327906,0.041405445542486805,0.6895517576746694
TOPOS,2,0.24806373598826545,0.01758730263587614,0.3238353972135194
ASSOC,2,0.17192393093485372,0.04274055888647394,0.2028884304328344
TOPO_GO,2,0.14098472222833822,0.02807914868529108,0.733874224626865
TOPO_CO_EXP,2,0.238860565488184,0.049139781453156756,0.19483370615616427
TOPO_GO_CO_EXP,2,0.16820330570347372,0.03584773031543096,0.7027778956825838
UNWEIGHTED,2,7.11856195476298,0.19749834673841163,0.2939911977864094
SWC,3,0.08631616327841612,0.014342960535088104,0.4090458248378468
XGW,3,0.02429160159861797,0.005584912095662136,0.8498937136953488
TOPO,3,0.35328433033435624,0.018768255111353004,0.29585251006204755
TOPO_L2,3,0.6047567504103146,0.027267503539626068,0.026587596822992353
STRING,3,0.6660503456747943,0.18183018801149872,0.306831614554674
CO_OCCUR,3,0.24572993283177197,0.017458407150966637,0.16738563603128265
REL,3,0.5021643137498875,0.024763803738799033,0.1431453639674584
CO_EXP,3,0.5787848250545933,0.15115432027803277,0.04308445576646513
GO_CC,3,0.22683532289309388,0.05338876402840719,0.7491555107662714
GO_BP,3,0.37545658618930405,0.07671212159969622,0.1579173580825315
GO_MF,3,0.9721330827098453,0.0466961485824251,0.4763011439168896
ALL,3,0.14054573415360352,0.026833624049787102,0.655009596332114
GO_SS,3,0.1810753287579037,0.04157979954811379,0.6621162924533786
TOPOS,3,0.2451723668436761,0.017544965488751105,0.3032918882061422
ASSOC,3,0.17287795851787577,0.04274336319434652,0.19685085516806963
TOPO_GO,3,0.14128533299554116,0.028215313416434247,0.7072521425495352
TOPO_CO_EXP,3,0.2388412879394851,0.04928714488935909,0.15856184035296797
TOPO_GO_CO_EXP,3,0.16856848867794128,0.036017425087749654,0.6706466541598263
UNWEIGHTED,3,7.114581383649484,0.19738790923446256,0.29569709943553846
SWC,4,0.08953622005539844,0.014622154227047615,0.3844065802632459
XGW,4,0.02914492409641938,0.007871565222198519,0.7555701551792934
TOPO,4,0.3553969000644806,0.018657585328861772,0.28874917419966606
TOPO_L2,4,0.5801565978521753,0.026591899808213748,0.028206730230835524
STRING,4,0.6651920976718222,0.18191342180901077,0.29891336281418945
CO_OCCUR,4,0.23337666451862046,0.016873323565552028,0.16664068127597223
REL,4,0.5096475769269395,0.024846109215730595,0.11869724032844668
CO_EXP,4,0.554054351423003,0.1500949571835699,0.049404369969444535
GO_CC,4,0.226510235832422,0.053284754570981856,0.7810919734458427
GO_BP,4,0.3755704834243833,0.07673093657369841,0.1438985054414274
GO_MF,4,0.9407653739997957,0.04567477145912121,0.521511371160602
ALL,4,0.13974471713531147,0.026478647939160493,0.6782072281587108
GO_SS,4,0.1802995715178584,0.041232835904933915,0.6944677925095434
TOPOS,4,0.24590497411571943,0.01718725252707996,0.29959374781540504
ASSOC,4,0.17079824606575233,0.04240855767949134,0.2026525920562346
TOPO_GO,4,0.140613844704618,0.027924669629046796,0.7317744231621292
TOPO_CO_EXP,4,0.2368619459112352,0.0487481524613235,0.20090569831829053
TOPO_GO_CO_EXP,4,0.1676524363275813,0.035611111839746606,0.7124597867428354
UNWEIGHTED,4,7.121803985604091,0.1975882940810439,0.2833664990048672
SWC,5,0.10572863003365161,0.015523356443480898,0.3878716014566862
XGW,5,0.026710487239233863,0.006986144330429328,0.7899174456672051
TOPO,5,0.36025899579049403,0.018925361008623794,0.3257894719535761
TOPO_L2,5,0.623250702569782,0.02782745959970547,0.028920525106466345
STRING,5,0.6713339352064565,0.18187409246140854,0.3116614403714486
CO_OCCUR,5,0.2542051071647456,0.01802278911862374,0.1676186602145685
REL,5,0.520923348673866,0.025385238491474532,0.14167443362397597
CO_EXP,5,0.5773723761926643,0.15102987360676567,0.047964818270604836
GO_CC,5,0.22665166609559062,0.053341579494231045,0.7764703249944687
GO_BP,5,0.3759350710481711,0.07695521637802251,0.14755193157398522
GO_MF,5,0.9652629425043892,0.04647572892672006,0.4978148378940295
ALL,5,0.14084753599136712,0.026943452330328722,0.6749387252813811
GO_SS,5,0.1810373291986475,0.04154584846271167,0.6792915281526193
TOPOS,5,0.2478963805366324,0.017806184584661027,0.3363625763804209
ASSOC,5,0.17336358904636207,0.0429336156265884,0.20367510678766518
TOPO_GO,5,0.1413274906190177,0.028214482789532775,0.7298157446975047
TOPO_CO_EXP,5,0.23963005783587987,0.04929346307058703,0.19588998089696286
TOPO_GO_CO_EXP,5,0.16857228933978796,0.03600164523676447,0.6957128543898654
UNWEIGHTED,5,7.117181587386203,0.19746004963900615,0.29959186408025273
SWC,6,0.08155535889038003,0.0144501189130699,0.3961823735828667
XGW,6,0.023182688806939585,0.005304321664251018,0.8477656279897371
TOPO,6,0.35068765934157237,0.018543359107070494,0.31890712569897417
TOPO_L2,6,0.6005686742027334,0.027122089740873843,0.027254515898333356
STRING,6,0.6664822090524767,0.1818650521077038,0.3044872443721593
CO_OCCUR,6,0.23898665473220146,0.017301993075546612,0.16517440037171402
REL,6,0.5080119234255885,0.024893490408886245,0.13409226385908843
CO_EXP,6,0.5668767355507822,0.15055879753081106,0.048170227936133105
GO_CC,6,0.22659852008042686,0.05332570803885103,0.7760739684123875
GO_BP,6,0.37577436961477106,0.07683597419337106,0.14192278168664563
GO_MF,6,0.9456165772479656,0.04586998693167664,0.5137720213365828
ALL,6,0.14008771102042886,0.026619583067143914,0.6820554508396816
GO_SS,6,0.1805692810931374,0.04134332214936124,0.6879183482909574
TOPOS,6,0.2445893372789139,0.01731040745964389,0.32827808092157507
ASSOC,6,0.17101751820156946,0.042573431918568265,0.20380020527716342
TOPO_GO,6,0.1407764384489832,0.027984706510022432,0.7370195613978712
TOPO_CO_EXP,6,0.23544142854532935,0.04888232779840005,0.20020784381192558
TOPO_GO_CO_EXP,6,0.16794320141584293,0.03572993618404349,0.7088512453697245
UNWEIGHTED,6,7.113613490620025,0.19736105587919886,0.29480620366227683
SWC,7,0.05900585517585791,0.01313177269287469,0.39793279843412516
XGW,7,0.021244293484026087,0.00504624307140073,0.8904745105435697
TOPO,7,0.27885886652525693,0.016570204877681505,0.34848796601536447
TOPO_L2,7,0.5458038015772195,0.02525156507962051,0.025676644306867454
STRING,7,0.6701239222173724,0.18229045939799648,0.29671196441936293
CO_OCCUR,7,0.22073698727479782,0.015616889051368038,0.14105407724531616
REL,7,0.41750890652319167,0.02255133030699079,0.15299268356503629
CO_EXP,7,0.5479823725287174,0.15038887550579239,0.042535057118949914
GO_CC,7,0.2269759295555888,0.05346840634478445,0.7369432600728969
GO_BP,7,0.37480658397982725,0.07634243989999737,0.14428152572513808
GO_MF,7,0.9674635248037119,0.046565059688161735,0.4397202440806523
ALL,7,0.13887265830645112,0.026118031901476123,0.6483547008699257
GO_SS,7,0.1808126394438979,0.04149903289603067,0.6172732194990262
TOPOS,7,0.1936793507497035,0.015401538964151217,0.3565874864125081
ASSOC,7,0.17059537579824988,0.04189577760900362,0.20064671277473622
TOPO_GO,7,0.14028408513145785,0.027839645086946946,0.6939059688818467
TOPO_CO_EXP,7,0.2195817173041121,0.04796546106258921,0.20418732725642558
TOPO_GO_CO_EXP,7,0.16749150033384855,0.035594929389187895,0.6609878799532614
UNWEIGHTED,7,7.056386471763608,0.1957733417194102,0.3240793603501747
SWC,8,0.06448783028439004,0.013473343677835443,0.43762361070722133
XGW,8,0.025573723019919226,0.006128554925731639,0.8535382102111797
TOPO,8,0.32162820825707605,0.01784066335375358,0.3156583099249294
TOPO_L2,8,0.5798898018176842,0.026429904458712863,0.023370681810968526
STRING,8,0.6451152997876506,0.18138298903965674,0.3236404473916389
CO_OCCUR,8,0.2433768209396099,0.016726778632229218,0.15100062319317414
REL,8,0.47221867321494165,0.02389536956883653,0.14453818675637875
CO_EXP,8,0.5747154947014105,0.15112411062186723,0.03569619167156146
GO_CC,8,0.22706141623408446,0.05343959729657143,0.7146718804111771
GO_BP,8,0.3750325249620908,0.07648226955055726,0.15711103982375108
GO_MF,8,0.9704118901011886,0.04665475553364125,0.46086994791433455
ALL,8,0.13980506934699502,0.0265114055805058,0.6553851209912939
GO_SS,8,0.18100056887958305,0.041555334245871496,0.6400344220335088
TOPOS,8,0.22386909947651312,0.01665820158307249,0.32047586053172955
ASSOC,8,0.17180512652301497,0.042308759311314545,0.19889840312997337
TOPO_GO,8,0.14089812194272755,0.028066620904939457,0.7004331344360664
TOPO_CO_EXP,8,0.23747479197635277,0.04896193811998584,0.16368736845824672
TOPO_GO_CO_EXP,8,0.16825805764429966,0.035901282336817726,0.6530934498784081
UNWEIGHTED,8,7.089916130583631,0.19670359311368604,0.3066403779082535
SWC,9,0.048849635234432115,0.011733427384216276,0.38158032362734634
XGW,9,0.023977511049029624,0.005642434910293103,0.8066936485652603
TOPO,9,0.21517755242688041,0.01466230344022272,0.3335533304357038
TOPO_L2,9,0.45222982390017763,0.02243483088683746,0.019604357767995885
STRING,9,0.6664207219910617,0.18267462872440676,0.2549387467515044
CO_OCCUR,9,0.1780161724096754,0.012838560570091246,0.14519243334671708
REL,9,0.3129990257242249,0.01958296864348209,0.1735384076601313
CO_EXP,9,0.5343297608490162,0.15020067737714987,0.03152707395097576
