METHOD,ITER,LOG_LOSS,BRIER_SCORE,PR_AUC
SWC,0,0.13502721681063515,0.02403822694630697,0.40200010248392404
XGW,0,0.03456988562895959,0.008848829513763548,0.808371698966598
TOPO,0,0.8590683270726771,0.026770366616644708,0.16957748620189395
TOPO_L2,0,0.9037490932536058,0.030627331487259928,0.06170342465897373
STRING,0,1.0023386266872092,0.27632336774197647,0.3144319669900999
CO_OCCUR,0,0.3650421676844703,0.026523908977734004,0.16885163684321403
REL,0,0.761701338230639,0.035558279595067355,0.15658511947790676
CO_EXP,0,0.7217795204148865,0.17948588129617496,0.05681253211478959
GO_CC,0,0.23152537824131159,0.05533909154569171,0.815164019005908
GO_BP,0,0.43544771619450073,0.08497887787094405,0.17254861337848543
GO_MF,0,1.3123739469266096,0.05681538167125224,0.5208293939635918
ALL,0,0.16403845725503244,0.034854242468815,0.6690910018359917
GO_SS,0,0.1889652154688483,0.04650181831150364,0.696486527774177
TOPOS,0,0.7288338435274755,0.026640704865155986,0.15824698623474315
ASSOC,0,0.22890090094828122,0.06129880242007355,0.20624132618729213
TOPO_GO,0,0.1440667305719459,0.03112269994057894,0.7205921300981494
TOPO_CO_EXP,0,0.3751827123876289,0.05862325032929194,0.09515924818288647
TOPO_GO_CO_EXP,0,0.17847258622772597,0.04107752403296887,0.698448281156679
UNWEIGHTED,0,1.9184610185267401,0.05322604226090995,0.16788610116367148
SWC,1,0.13688582491669118,0.02422360956282275,0.3950666690640965
XGW,1,0.042620402997516675,0.012478809295244413,0.734978401960912
TOPO,1,0.8593020256069349,0.026780073939797155,0.17422928300500995
TOPO_L2,1,0.9026833939975513,0.03062064481700643,0.06535759733279838
STRING,1,1.0050993769361127,0.27636565035304456,0.3110740318382445
CO_OCCUR,1,0.35949746523868936,0.02655867092398609,0.17311344302318185
REL,1,0.7614628905566642,0.03567989602020101,0.15410429619412477
CO_EXP,1,0.7263674857102704,0.17962674834472142,0.056603750162197784
GO_CC,1,0.23147472917021547,0.055321981061091305,0.815171604344874
GO_BP,1,0.4360409093726595,0.0851970158276527,0.1532567586097564
GO_MF,1,1.321238788756029,0.05710991370543711,0.5127571218368705
ALL,1,0.16430630726237724,0.034973390160877395,0.659731182493439
GO_SS,1,0.18929352859862777,0.046637129720711976,0.6791105644815424
TOPOS,1,0.7242570320661155,0.026619607816765273,0.16603887414242122
ASSOC,1,0.22897636851655745,0.061393904370874726,0.20505078685588413
TOPO_GO,1,0.14437961763712223,0.031267622744233774,0.7077358579565023
TOPO_CO_EXP,1,0.37750357704588383,0.058710050841597756,0.09682345032114997
TOPO_GO_CO_EXP,1,0.17879908986982704,0.04122783790681764,0.6870954640733109
UNWEIGHTED,1,1.9185565004812817,0.053228691325185165,0.17064178216798292
SWC,2,0.14503700094923858,0.02428077640127062,0.38928632898438387
XGW,2,0.03725828795569467,0.009867822413954092,0.787776324567677
TOPO,2,0.8610574065353022,0.026795496212054723,0.15885404179520402
TOPO_L2,2,0.903344850740488,0.030570745357222866,0.05869782768793791
STRING,2,1.0032274161538506,0.2763858361673603,0.30656695370927933
CO_OCCUR,2,0.36792528677641373,0.026436104765276466,0.16552542692114866
REL,2,0.7647700865114088,0.03564155062089413,0.149528579156936
CO_EXP,2,0.7271617878631774,0.17950049744306426,0.05668410741370581
GO_CC,2,0.2316711368214252,0.055381380971781906,0.8083625447900046
GO_BP,2,0.4347972625722444,0.0849710622974438,0.16741901553778243
GO_MF,2,1.3087770038325408,0.05672572406991201,0.5224144241840666
ALL,2,0.16407627609890302,0.03487559055956191,0.6598906270152
GO_SS,2,0.1889636347384215,0.04649214645577471,0.690355908686615
TOPOS,2,0.7357874743411392,0.02666380907174138,0.14595916964365543
ASSOC,2,0.22865686588552117,0.06132384816981172,0.2007361205433457
TOPO_GO,2,0.14407136811804314,0.03112524498854712,0.7135738922619528
TOPO_CO_EXP,2,0.3807886855728362,0.05865218251122091,0.09249228534563533
TOPO_GO_CO_EXP,2,0.17849624666578473,0.04109253640478083,0.6929223388024063
UNWEIGHTED,2,1.9207325651924627,0.05328906435917506,0.16190644567649864
SWC,3,0.15476563138033989,0.024925987055036666,0.397983203480645
XGW,3,0.04078168572464843,0.011814351100966274,0.7669702473364308
