PROTEIN_U,PROTEIN_V,PUBMED
YDL148C,YPR144C,12150911
YMR080C,YNL016W,11805826
YDL148C,YPR144C,12446671
YJL151C,YJL151C,18467557
YDL148C,YPR144C,16554755
YAL005C,YPL160W,19536198
YDL229W,YGR097W,19536198
YER177W,YGR097W,16554755
YER177W,YGR097W,20489023
YER151C,YHL001W,20508643
YEL030W,YML093W,19536198
YLL050C,YLR319C,16847879
YER162C,YHR064C,19536198
YDR216W,YER095W,20489023
YDL148C,YPR144C,16429126
YDL148C,YPR144C,20019888
YBL003C,YGL133W,19106085
YHR169W,YOR063W,16429126
YGR027C,YIR010W,21107429
YJR021C,YMR224C,14992724
YHR001W,YML072C,18467557
YBR195C,YKR029C,11805837
YMR043W,YPL106C,19536198
YGL201C,YGR103W,12110181
YFR014C,YMR173W,16319894
YAL005C,YNR031C,19536198
YFL013C,YML065W,20595233
YDL229W,YLR361C,19536198
YHR082C,YJR066W,20489023
YDR527W,YMR223W,21734642
YIL122W,YKL161C,20489023
YJR097W,YML062C,19536198
YLL024C,YLL039C,15699485
YLL024C,YLL039C,20694217
YBL047C,YFR031C,16429126
YGR092W,YHR107C,10984431
YAL005C,YLR089C,19536198
YAL005C,YPR055W,19536198
YMR091C,YOR064C,19621382
YHL011C,YOL061W,18467557
YLR258W,YNL007C,19536198
YLL024C,YLR466W,19536198
YDR100W,YKR088C,18467557
YJL047C,YLR320W,11805837
YJL047C,YLR320W,20174551
YJL047C,YLR320W,18704118
YJL047C,YLR320W,20139071
YLR055C,YOR117W,21734642
YDL002C,YPL235W,16554755
YDL002C,YPL235W,16429126
YDL002C,YPL235W,15607974
YDL002C,YPL235W,11805826
YDL091C,YPL106C,19536198
YBL075C,YHR108W,19536198
YGL195W,YHR200W,18757749
YDR364C,YLL036C,14759368
YDR122W,YHR064C,19536198
YOR361C,YPL106C,19536198
YMR149W,YMR279C,16093310
YLL019C,YOL016C,16319894
YBR048W,YNL132W,16429126
YGL137W,YOL133W,11805837
YDR364C,YLL036C,21386897
YDR364C,YLL036C,18719252
YDR364C,YLL036C,11884590
YJL148W,YJL148W,18467557
YGL203C,YPL246C,18467557
YJL148W,YJL148W,14759368
YER029C,YOL139C,16429126
YGL111W,YLL008W,18559667
YLL024C,YPR072W,19536198
YDR364C,YLL036C,16429126
YNL120C,YPL240C,19536198
YEL003W,YFL008W,19536198
YJR042W,YMR209C,11805837
YDL229W,YPL070W,19536198
YBR010W,YPL004C,22199229
YCR030C,YFR024C,18467557
YCR030C,YFR024C,19841731
YKL117W,YMR186W,18362168
YKL117W,YMR186W,17101799
YKL117W,YMR186W,20237159
YKL117W,YMR186W,20159554
YDL239C,YJL179W,19536198
YCR076C,YPR103W,16554755
YNL229C,YPL235W,16554755
YHR005C,YOR297C,22152483
YHR005C,YOR297C,17882259
YBR225W,YNL154C,16319894
YDR208W,YNL007C,19536198
YJL203W,YLL036C,11884590
YJL203W,YLL036C,11804584
YHR051W,YKR016W,21944719
YGR232W,YNL244C,11805837
YER105C,YLR208W,18046405
YER105C,YLR208W,15741174
YNL024C,YNL064C,19536198
YDR211W,YDR211W,14759368
YAL005C,YKL078W,19536198
YBR162C,YER086W,11805826
YDL044C,YLL051C,11283351
YGR060W,YHR140W,16093310
YMR001C,YMR032W,21498574
YIL070C,YJR072C,14690591
YDL229W,YNL183C,19536198
YGR136W,YMR200W,19841731
YJL095W,YLR067C,20489023
YDL239C,YNL007C,19536198
YOR063W,YPL243W,21765803
YBR233W,YBR261C,18719252
YDL143W,YGR133W,19536198
YDR510W,YJL128C,21460040
YBR169C,YLL022C,19536198
YLL024C,YLL057C,19536198
YIL070C,YPL032C,16554755
YGR016W,YLL024C,19536198
YAL038W,YNL289W,16330754
YBR034C,YML124C,14690591
YFL036W,YJL034W,19536766
YJL019W,YNL029C,18719252
YKL078W,YNL064C,19536198
YDL229W,YDR421W,19536198
YCR033W,YDR432W,14769921
YDR176W,YGL221C,8663102
YGR215W,YMR188C,16554755
YIL054W,YPL106C,19536198
YGL073W,YHR206W,10888672
YER172C,YLR424W,14690591
YER172C,YLR424W,16429126
YGL030W,YLR074C,16429126
YJL039C,YML063W,18046405
YDL229W,YOR001W,19536198
YEL063C,YFL041W,16093310
YDR121W,YIL142W,19536198
YCL027W,YHR082C,19841731
YDR052C,YGL201C,19692334
YJR044C,YOL129W,18216282
YJR044C,YOL129W,18719252
YLL045C,YNR053C,21926967
YBR251W,YGR091W,11805826
YGR054W,YOR204W,21915340
YGR054W,YOR204W,18467557
YFL039C,YHR016C,19158382
YHR064C,YHR203C,16429126
YEL061C,YOL038W,16554755
YDR110W,YML064C,10688190
YCR050C,YDL017W,10688190
YDR005C,YOR116C,11805826
YDR005C,YOR116C,21383183
YDR005C,YOR116C,16429126
YDR005C,YOR116C,16762835
YDR005C,YOR116C,11438659
YGR090W,YLR150W,16554755
YBR217W,YMR159C,10406794
YBR217W,YMR159C,11283351
YLR384C,YNL272C,15780940
YBR217W,YMR159C,11897782
YDR013W,YHR118C,20231317
YFR008W,YJR045C,19536198
YDL005C,YOR174W,16554755
YBR217W,YMR159C,10688190
YBR217W,YMR159C,17986448
YER074W,YGR081C,16429126
YBR194W,YJL122W,21386897
