PROTEIN_U,PROTEIN_V,CO_EXP
YBR146W,YGL129C,0.8506818841124801
YDR041W,YKL155C,0.7072918410182116
YDR041W,YGL129C,0.846225922478262
YBL090W,YNL306W,0.8812407073976558
YIL093C,YJR113C,0.8745584880475334
YDR041W,YDR337W,0.8660805826042975
YBR146W,YDR041W,0.9059366365366548
YGL129C,YKL155C,0.6991065352391049
YDR041W,YJR101W,0.9012784133702848
YBR146W,YJR101W,0.8336623342965885
YGL129C,YPL118W,0.9138178720441098
YJR101W,YJR113C,0.8370190269864807
YBR146W,YPL118W,0.9150902323865374
YDR337W,YKL155C,0.6980059605527738
YIL093C,YJR101W,0.8994052742788325
YBR146W,YKL155C,0.7058910058583546
YDR041W,YPL118W,0.8363622479396546
YJR101W,YKL155C,0.6691222186527747
YDR041W,YNL306W,0.8398999165705804
YGL129C,YJR101W,0.8578988434397856
YDR175C,YIL093C,0.8946517485101264
YDR116C,YDR322W,0.9644340361976006
YBL090W,YJR113C,0.8662619398925914
YDR041W,YDR175C,0.889618803698916
YDR337W,YGL129C,0.9546415974533673
YDR175C,YJR113C,0.8281029429526868
YDR322W,YLR439W,0.9498174030733281
YDR041W,YOR158W,0.7247047810202788
YBR146W,YDR175C,0.8899979804300492
YDR175C,YJR101W,0.8900578245864006
YDR041W,YMR188C,0.8992016655358545
YBR146W,YDR337W,0.8369530297687418
YDR175C,YDR337W,0.9514546263675439
YDR237W,YLR439W,0.9205398672141493
YDR116C,YLR439W,0.9233523759733145
YMR188C,YNL306W,0.9457852138504553
YDR337W,YJR101W,0.9195653859291243
YDR041W,YJR113C,0.7942398622973612
YDR237W,YDR322W,0.9586251960718065
YKL167C,YKR006C,0.9281082333121093
YDR175C,YKL155C,0.6588560162894852
YDR175C,YNL306W,0.8537253672741757
YKL155C,YPL118W,0.5912514082597043
YDR337W,YNL306W,0.8610554127814559
YBL090W,YDR041W,0.9012263019841089
YBL090W,YDR175C,0.8989438749333795
YBL090W,YMR188C,0.9317126575764103
YKL155C,YOR158W,0.4088719986304321
YDR041W,YIL093C,0.8634859844165574
YIL093C,YPL118W,0.8436858215885884
YCR046C,YNL252C,0.8717140686552729
YGL129C,YOR158W,0.8182605867499171
YBL090W,YDR337W,0.9331804782287585
YBR146W,YJR113C,0.8399902923254882
YKL155C,YNL306W,0.5864251479357664
YDR175C,YGL129C,0.9158826384082159
YDR116C,YDR237W,0.9478381036068056
YDR347W,YIL093C,0.962030955223569
YJR101W,YPL118W,0.8354052778459711
YDR337W,YJR113C,0.8440313204852634
YJR113C,YNL306W,0.8502264588884128
YKL155C,YMR188C,0.6580837107171554
YGL129C,YNL306W,0.8665369087414599
YBR146W,YNR036C,0.7273984817609573
YGL129C,YMR188C,0.902878099890909
YBR146W,YIL093C,0.8411428216793218
YDR175C,YOR158W,0.8633869841899724
YDR322W,YMR024W,0.9498347910041139
YDR175C,YPL118W,0.9010440338772746
YJR101W,YNR036C,0.6478456253228786
YCR071C,YDR116C,0.8949924579256746
YDR175C,YMR188C,0.9171141579812663
YDR337W,YMR188C,0.8968390945430522
YBL090W,YIL093C,0.925921821307126
YDR337W,YPL118W,0.8844567618315194
YDR337W,YOR158W,0.8321368591756033
YMR188C,YPL118W,0.923892164923063
YDR347W,YJR101W,0.9170319254968948
YOR158W,YPL118W,0.8678783040767268
YBR146W,YOR158W,0.7638808967331432
YMR112C,YPR168W,0.3748379962301067
YBR146W,YNL306W,0.8994786105105081
YDR322W,YNL252C,0.9277882654088826
YGL129C,YJR113C,0.7949990710880913
YJR113C,YKL155C,0.45825240390240574
YJR101W,YOR158W,0.7723855160966624
YJR101W,YNL306W,0.8134075849794911
YBL090W,YGL129C,0.9129629981932714
YBL090W,YKL155C,0.6851344869585885
YJR113C,YPL118W,0.8819093705332534
YMR188C,YOR158W,0.8055471671253196
YDR347W,YPL118W,0.8847033726941953
YBR146W,YMR188C,0.9324135124352836
YBL090W,YPL118W,0.9029518721846198
YDR041W,YDR347W,0.8894880444505785
YDR347W,YJR113C,0.9220343637472943
YGL129C,YIL093C,0.9241823324458113
YJR101W,YMR188C,0.8856898686748228
YIL093C,YKL155C,0.6948167443748818
YPR070W,YPR168W,0.3258433770549436
YDR322W,YNL005C,0.8677754878907319
YGL129C,YNL137C,0.8137691890877725
YJR113C,YNR036C,0.8658881325697458
YGL129C,YGR084C,0.9384870945067296
YGL129C,YNR036C,0.7015931229098162
YGL129C,YPL013C,0.9028773629938419
YCR046C,YDR322W,0.9506772725920661
YDR237W,YNL005C,0.8750057496488453
YGL129C,YGR215W,0.9256271386340593
YGL077C,YGR055W,0.5358271816299044
YBL090W,YBR146W,0.8777168776159215
YDR337W,YIL093C,0.9534927094267479
YDR237W,YNL252C,0.8909384048614275
YIL093C,YMR188C,0.8665596411036693
YNR036C,YPL118W,0.8503683574653029
YDR237W,YDR296W,0.9245918359085937
YBL090W,YJR101W,0.930942724099237
YIL093C,YNR036C,0.6644952386538748
YBR146W,YNL137C,0.9257644431572558
YDR116C,YNL252C,0.8898384904982987
YBR146W,YGR215W,0.8078998974134586
YGR084C,YPL118W,0.9045003408868202
YDR308C,YPR168W,0.001520722116404871
YNL306W,YPL118W,0.8841623071679993
YIL093C,YOR158W,0.7638121929916961
YDL209C,YPR101W,0.1356338322770135
YCR081W,YPR168W,0.0
YDR041W,YPL013C,0.8276278238701987
YIL093C,YNL306W,0.8429220782310198
YGL151W,YPR168W,0.0
YBR146W,YPL013C,0.8457363788498689
YDR260C,YIR025W,0.3985938606251252
YGR084C,YJR101W,0.8293191815170862
YDR041W,YNL137C,0.9168557648190832
YDR347W,YGL129C,0.910401649280035
YDR041W,YGR084C,0.7961754572699339
YDR041W,YNR036C,0.5860941000244284
YBR146W,YGR084C,0.8470309505172917
YLR439W,YNL252C,0.9303724029986747
YGR084C,YNR036C,0.7234943216287021
YDR347W,YKL155C,0.6806411308413325
YCR081W,YGL151W,0.0
YDR116C,YMR024W,0.9179406439784372
YDR175C,YDR347W,0.899926304259381
YGR084C,YJR113C,0.805988950696749
YLR439W,YMR024W,0.9219571528017224
YCR081W,YMR112C,0.0
YCR046C,YLR439W,0.9372774173563024
YKR085C,YNL252C,0.9251202400060617
YNL306W,YOR158W,0.776735934043303
YHR148W,YLR186W,0.907079393693031
YDR041W,YGR215W,0.7990377569127642
YBR146W,YDR347W,0.8751056560402036
YDR260C,YLR127C,0.0
YGR215W,YOR158W,0.7402951072694189
YJR113C,YMR188C,0.8410534532748428
YLR129W,YLR186W,0.9027617272557932
YGR165W,YOR158W,0.7827197173568361
YGL151W,YPR070W,0.0
YDR347W,YOR158W,0.775200975756632
YGR215W,YPL118W,0.8270678185498529
YJR113C,YOR158W,0.8097192862993841
YKL155C,YNL137C,0.6484483782571293
YCR071C,YLR439W,0.9233017590573589
YBR122C,YLR439W,0.8960582579740561
YLR147C,YLR275W,0.37378271979249217
YDR041W,YMR158W,0.9415727479951653
YCR071C,YKR085C,0.9304938709117739
YBL090W,YOR158W,0.7861490700462246
YKL155C,YPL013C,0.5703674046325581
YGR084C,YIL093C,0.8934774390964334
YER029C,YPL213W,0.22307883129844677
YDR237W,YMR024W,0.9436178530993834
YGL025C,YMR112C,0.16812295526874438
YPL013C,YPL118W,0.9201832497658923
YDR260C,YFR036W,0.712145605990937
YDR337W,YDR347W,0.9428948508697408
YGL151W,YMR112C,0.09110912002523919
YDR347W,YMR188C,0.8827545860208479
YGL151W,YNL236W,0.0
YCR081W,YDR443C,0.0
YCR071C,YKR006C,0.9520904047395947
YGR084C,YMR158W,0.8907858303486282
YDR260C,YGL240W,0.5133706946365882
YHR058C,YPR070W,0.0
YLR439W,YNL005C,0.8498796489619184
YBL090W,YDR347W,0.9413776525176372
YKL155C,YNR036C,0.23035018009287483
YBR122C,YDR322W,0.9381259157436574
YMR158W,YOR158W,0.7670034768616862
YGR084C,YKL155C,0.6530185994500592
YKL167C,YKR085C,0.9108814592533828
YNR036C,YOR158W,0.8558250894438191
YHR058C,YMR112C,0.0
YGR215W,YKL155C,0.6868068892136306
YNL137C,YPL118W,0.8317474430407825
YBR167C,YBR257W,0.2132872132075713
YER172C,YKL173W,0.331546119785865
YGL025C,YPR168W,0.18562114278485398
YMR213W,YPR101W,0.13899210565045667
YCR081W,YHR058C,0.0
YBR257W,YIR015W,0.0
YNL137C,YPL013C,0.8273223545149644
YCR071C,YDR322W,0.9358544326122538
YKR006C,YKR085C,0.9365488649319835
YDR337W,YNL137C,0.8448451922467055
YJL063C,YKR085C,0.926493542921113
YAL033W,YBL018C,0.2219191470329564
