PROTEIN_U,PROTEIN_V,CO_EXP
Q0010,Q0017,0.0
Q0010,Q0032,0.0
Q0010,Q0182,0.0
Q0017,Q0032,0.0
Q0017,Q0182,0.0
Q0032,Q0182,0.0
Q0032,YNL182C,0.0
Q0045,Q0080,0.0
Q0045,Q0085,0.0
Q0045,Q0105,0.0
Q0045,Q0110,0.0
Q0045,Q0115,0.0
Q0045,Q0120,0.0
Q0045,Q0140,0.0
Q0045,Q0250,0.0
Q0045,Q0275,0.0
Q0045,YBL022C,0.0
Q0045,YBL045C,0.0
Q0045,YBR037C,0.0
Q0045,YDL044C,0.0
Q0045,YDL067C,0.0
Q0045,YDR047W,0.0
Q0045,YDR300C,0.0
Q0045,YDR376W,0.0
Q0045,YEL024W,0.0
Q0045,YER141W,0.0
Q0045,YER154W,0.0
Q0045,YGL064C,0.0
Q0045,YGL143C,0.0
Q0045,YGL187C,0.0
Q0045,YGL191W,0.0
Q0045,YGR112W,0.0
Q0045,YGR222W,0.0
Q0045,YHR051W,0.0
Q0045,YHR086W,0.0
Q0045,YIL111W,0.0
Q0045,YIL125W,0.0
Q0045,YIL157C,0.0
Q0045,YJL062W-A,0.0
Q0045,YJR148W,0.0
Q0045,YKL216W,0.0
Q0045,YLR038C,0.0
Q0045,YLR142W,0.0
Q0045,YLR203C,0.0
Q0045,YLR382C,0.0
Q0045,YLR395C,0.0
Q0045,YML129C,0.0
Q0045,YMR080C,0.0
Q0045,YMR256C,0.0
Q0045,YNL052W,0.0
Q0045,YOL027C,0.0
Q0045,YOR065W,0.0
Q0045,YOR323C,0.0
Q0045,YPL132W,0.0
Q0045,YPL172C,0.0
Q0045,YPL189C-A,0.0
Q0045,YPL252C,0.0
Q0045,YPL262W,0.0
Q0050,Q0105,0.0
Q0050,YGL122C,0.0
Q0050,YNL206C,0.0
Q0050,YPR140W,0.0
Q0065,Q0250,0.0
Q0065,Q0275,0.0
Q0070,Q0250,0.0
Q0070,Q0275,0.0
Q0070,YPL172C,0.0
Q0075,YGL122C,0.0
Q0080,Q0085,0.0
Q0080,Q0130,0.0
Q0080,Q0250,0.0
Q0080,Q0275,0.0
Q0080,YBL099W,0.0
Q0080,YBR039W,0.0
Q0080,YDR350C,0.0
Q0080,YHR047C,0.0
Q0080,YJR121W,0.0
Q0080,YLR148W,0.0
Q0080,YLR203C,0.0
Q0080,YNL178W,0.0
Q0080,YPL078C,0.0
Q0085,Q0105,0.0
Q0085,Q0130,0.0
Q0085,Q0250,0.0
Q0085,Q0275,0.0
Q0085,YBL099W,0.17893331273040589
Q0085,YBR039W,0.07337430574072845
Q0085,YBR263W,0.16003092350204692
Q0085,YCR106W,0.0
Q0085,YDL004W,0.10810430624210132
Q0085,YDL033C,0.0
Q0085,YDR298C,0.0
Q0085,YDR350C,0.3475442840485372
Q0085,YDR377W,0.2663559378228844
Q0085,YER100W,0.4059619613615479
Q0085,YER141W,0.26316816982157304
Q0085,YER154W,0.0
Q0085,YFR028C,0.0
Q0085,YGL143C,0.0
Q0085,YGL236C,0.0
Q0085,YHR008C,0.3351326334788168
Q0085,YHR128W,0.0
Q0085,YJR121W,0.01730615817521969
Q0085,YKL016C,0.047854260036590046
Q0085,YLR058C,0.0
Q0085,YLR203C,0.0
Q0085,YLR393W,0.0
Q0085,YLR406C,0.0
Q0085,YML081C-A,0.223250156451458
Q0085,YML129C,0.03093554341153703
Q0085,YMR023C,0.0
Q0085,YMR098C,0.0
Q0085,YMR284W,0.1474058911883015
Q0085,YNL178W,0.0
Q0085,YOL027C,0.0
Q0085,YPL078C,0.22185465957305633
Q0085,YPL204W,0.0
Q0085,YPR020W,0.0
Q0085,YPR155C,0.2858288913096466
Q0092,YOR026W,0.0
Q0105,Q0250,0.0
Q0105,Q0275,0.0
Q0105,YAL046C,0.0
Q0105,YBL022C,0.0
Q0105,YBL030C,0.0
Q0105,YBL041W,0.0
Q0105,YBL045C,0.0
Q0105,YBR208C,0.0
Q0105,YBR257W,0.0
Q0105,YCR031C,0.0
Q0105,YDL033C,0.0
Q0105,YDL044C,0.0
Q0105,YDL069C,0.0
Q0105,YDL075W,0.0
Q0105,YDL166C,0.0
Q0105,YDL219W,0.0
Q0105,YDR197W,0.0
Q0105,YDR211W,0.0
Q0105,YDR258C,0.0
Q0105,YDR292C,0.0
Q0105,YDR298C,0.0
Q0105,YDR375C,0.0
Q0105,YDR449C,0.0
Q0105,YDR493W,0.0
Q0105,YDR529C,0.0
Q0105,YEL024W,0.0
Q0105,YEL039C,0.0
Q0105,YEL041W,0.0
Q0105,YER154W,0.0
Q0105,YFR033C,0.0
Q0105,YGL063W,0.0
Q0105,YGL107C,0.0
Q0105,YGL224C,0.0
Q0105,YGL234W,0.0
Q0105,YGL236C,0.0
Q0105,YGR034W,0.0
Q0105,YGR094W,0.0
Q0105,YGR174C,0.0
Q0105,YGR183C,0.0
Q0105,YHL038C,0.0
Q0105,YHL046C,0.0
Q0105,YHR001W,0.0
Q0105,YHR001W-A,0.0
Q0105,YHR044C,0.0
Q0105,YHR086W,0.0
Q0105,YHR203C,0.0
Q0105,YJL166W,0.0
Q0105,YJL209W,0.0
Q0105,YJL213W,0.0
Q0105,YJR014W,0.0
Q0105,YJR024C,0.0
Q0105,YJR048W,0.0
Q0105,YJR145C,0.0
Q0105,YKL087C,0.0
Q0105,YKL208W,0.0
Q0105,YLL041C,0.0
Q0105,YLR017W,0.0
Q0105,YLR077W,0.0
Q0105,YLR132C,0.0
Q0105,YLR203C,0.0
Q0105,YLR359W,0.0
Q0105,YLR382C,0.0
Q0105,YML092C,0.0
Q0105,YML129C,0.0
Q0105,YMR009W,0.0
Q0105,YMR080C,0.0
Q0105,YMR084W,0.0
Q0105,YMR130W,0.0
Q0105,YMR217W,0.0
Q0105,YOL027C,0.0
Q0105,YOL114C,0.0
Q0105,YOR017W,0.0
Q0105,YOR054C,0.0
Q0105,YOR065W,0.0
Q0105,YOR093C,0.0
Q0105,YOR111W,0.0
Q0105,YPL003W,0.0
Q0105,YPL160W,0.0
Q0105,YPL215W,0.0
Q0105,YPR191W,0.0
Q0110,Q0115,0.0
Q0110,Q0120,0.0
Q0110,YBL045C,0.0
Q0110,YDL069C,0.0
Q0110,YDR034W-B,0.0
Q0110,YDR197W,0.0
Q0110,YDR375C,0.0
Q0110,YDR529C,0.0
Q0110,YEL024W,0.0
Q0110,YFR033C,0.0
Q0110,YGR037C,0.0
Q0110,YGR174C,0.0
Q0110,YGR183C,0.0
Q0110,YHL038C,0.0
Q0110,YHR001W-A,0.0
Q0110,YHR138C,0.0
Q0110,YJL166W,0.0
Q0110,YJL209W,0.0
Q0110,YKL208W,0.0
Q0110,YKR011C,0.0
Q0110,YMR080C,0.0
Q0110,YOR065W,0.0
Q0110,YPL215W,0.0
Q0110,YPR191W,0.0
Q0115,Q0120,0.0
Q0115,YBL041W,0.4838888916201869
Q0115,YBL045C,0.01971520455883576
Q0115,YBR062C,0.0
Q0115,YBR249C,0.0
Q0115,YDL021W,0.2899831076294075
Q0115,YDL069C,0.0
Q0115,YDR034W-B,0.0
Q0115,YDR035W,0.04373717808088043
Q0115,YDR197W,0.18695952694217371
Q0115,YDR210W,0.0
Q0115,YDR316W,0.0
Q0115,YDR375C,0.0
Q0115,YDR515W,0.0
Q0115,YDR529C,0.0
Q0115,YEL024W,0.01849143988511124
