PROTEIN_U,PROTEIN_V,TOPO,TOPO_L2,STRING,CO_OCCUR
Q0010,Q0017,0.0,0.0,0.641,0.0
Q0010,Q0032,0.0,0.0,0.616,0.0
Q0010,Q0182,0.0,0.0,0.584,0.0
Q0017,Q0032,0.0,0.0,0.673,0.0
Q0017,Q0182,0.0,0.0,0.654,0.0
Q0032,Q0182,0.0,0.0,0.631,0.0
Q0032,YNL182C,0.0,0.0,0.576,0.0
Q0045,Q0080,0.0,0.0,0.0,0.0983213429256595
Q0045,Q0085,0.0,0.0,0.961549113295,0.145969498910675
Q0045,Q0105,0.0,0.0,0.9965431672336,0.0
Q0045,Q0110,0.0,0.0,0.734212,0.0
Q0045,Q0115,0.0,0.0,0.751392,0.0
Q0045,Q0120,0.0,0.0,0.811214062,0.0
Q0045,Q0140,0.0,0.0,0.856345,0.0
Q0045,Q0250,0.0,0.0,0.999982597426745,0.227799227799228
Q0045,Q0275,0.0,0.0,0.999998766333884,0.180048661800487
Q0045,YBL022C,0.0,0.0,0.559,0.0
Q0045,YBL045C,0.0,0.0,0.874684,0.0
Q0045,YBR037C,0.0,0.0,0.679834,0.0
Q0045,YDL044C,0.0,0.0,0.886285,0.0
Q0045,YDL067C,0.0,0.0,0.874,0.0
Q0045,YDR047W,0.0,0.0,0.633088,0.0
Q0045,YDR300C,0.0,0.0,0.583,0.0
Q0045,YDR376W,0.0,0.0,0.612,0.0
Q0045,YEL024W,0.0,0.0,0.598631968,0.0
Q0045,YER141W,0.0,0.0,0.696584,0.0
Q0045,YER154W,0.0,0.0,0.876068092,0.0
Q0045,YGL064C,0.0,0.0,0.909184,0.0
Q0045,YGL143C,0.0,0.0,0.826,0.0
Q0045,YGL187C,0.0,0.0,0.97438752256,0.0
Q0045,YGL191W,0.0,0.0,0.867321256,0.0
Q0045,YGR112W,0.0,0.0,0.972392,0.0
Q0045,YGR222W,0.0,0.0,0.87646,0.0
Q0045,YHR051W,0.0,0.0,0.990050767525,0.0
Q0045,YHR086W,0.0,0.0,0.829,0.0
Q0045,YIL111W,0.0,0.0,0.965405,0.0
Q0045,YIL125W,0.0,0.0,0.516394,0.0
Q0045,YIL157C,0.0,0.0,0.816,0.0
Q0045,YJL062W-A,0.0,0.0,0.965,0.0
Q0045,YJR148W,0.0,0.0,0.520312,0.0
Q0045,YKL216W,0.0,0.0,0.925432,0.0
Q0045,YLR038C,0.0,0.0,0.999854090258,0.0
Q0045,YLR142W,0.0,0.0,0.628,0.0
Q0045,YLR203C,0.0,0.0,0.999295,0.0
Q0045,YLR382C,0.0,0.0,0.678,0.0
Q0045,YLR395C,0.0,0.0,0.965405,0.0
Q0045,YML129C,0.0,0.0,0.998,0.0
Q0045,YMR080C,0.0,0.0,0.848494,0.0
Q0045,YMR256C,0.0,0.0,0.965405,0.0
Q0045,YNL052W,0.0,0.0,0.965405,0.0
Q0045,YOL027C,0.0,0.0,0.558,0.0
Q0045,YOR065W,0.0,0.0,0.60859078,0.0
Q0045,YOR323C,0.0,0.0,0.583,0.0
Q0045,YPL132W,0.0,0.0,0.887038186,0.0
Q0045,YPL172C,0.0,0.0,0.989192114383041,0.0
Q0045,YPL189C-A,0.0,0.0,0.82,0.0
Q0045,YPL252C,0.0,0.0,0.612,0.0
Q0045,YPL262W,0.0,0.0,0.5723,0.0
Q0050,Q0105,0.0,0.0,0.704,0.0
Q0050,YGL122C,0.0,0.0,0.554,0.0
Q0050,YNL206C,0.0,0.0,0.0,0.0625
Q0050,YPR140W,0.0,0.0,0.812,0.0
Q0065,Q0250,0.0,0.0,0.868914293902508,0.0
Q0065,Q0275,0.0,0.0,0.845255077570524,0.0
