PROTEIN_U,PROTEIN_V,TOPO,TOPO_L2,STRING,CO_OCCUR
YBR146W,YGL129C,0.9454,0.0,0.991,0.0869565217391304
YDR041W,YKL155C,0.9445,0.0,0.999,0.05
YDR041W,YGL129C,0.942,0.0,0.998,0.0526315789473684
YBL090W,YNL306W,0.9396,0.0,0.99295,0.117647058823529
YIL093C,YJR113C,0.9382,0.0,0.999,0.111111111111111
YDR041W,YDR337W,0.9373,0.0,0.99972343623355,0.0
YBR146W,YDR041W,0.9359,0.0,0.99983580688,0.0
YGL129C,YKL155C,0.9357,0.0,0.999182,0.0952380952380952
YDR041W,YJR101W,0.9354,0.0,0.999501,0.0769230769230769
YBR146W,YJR101W,0.935,0.0,0.996031,0.0555555555555556
YGL129C,YPL118W,0.9332,0.0,0.993421,0.125
YJR101W,YJR113C,0.9324,0.0,0.991,0.1
YBR146W,YPL118W,0.9315,0.0,0.992701,0.05
YDR337W,YKL155C,0.9286,0.0,0.999,0.12
YIL093C,YJR101W,0.928,0.0,0.999163,0.125
YBR146W,YKL155C,0.928,0.0,0.998,0.0833333333333333
YDR041W,YPL118W,0.9264,0.0,0.999234,0.0666666666666667
YJR101W,YKL155C,0.9255,0.0,0.998,0.133333333333333
YDR041W,YNL306W,0.9252,0.0,0.999394,0.0625
YGL129C,YJR101W,0.9251,0.0,0.991,0.0666666666666667
YDR175C,YIL093C,0.9244,0.0,0.99917,0.0625
YDR116C,YDR322W,0.9239,0.0,0.99755,0.2
YBL090W,YJR113C,0.9235,0.0,0.99,0.0625
YDR041W,YDR175C,0.9234,0.0,0.994726,0.1
YDR337W,YGL129C,0.9232,0.0,0.999,0.08
YDR175C,YJR113C,0.9223,0.0,0.999,0.0555555555555556
YDR322W,YLR439W,0.9217,0.0,0.99294,0.12
YDR041W,YOR158W,0.9215,0.0,0.99238,0.0555555555555556
YBR146W,YDR175C,0.9213,0.0,0.992,0.08
YDR175C,YJR101W,0.9203,0.0,0.992827,0.0588235294117647
YDR041W,YMR188C,0.92,0.0,0.999929295091648,0.0
YBR146W,YDR337W,0.92,0.0,0.999321648355,0.25
YDR175C,YDR337W,0.92,0.0,0.999742,0.0740740740740741
YDR237W,YLR439W,0.9194,0.0,0.99,0.05
YDR116C,YLR439W,0.9193,0.0,0.99,0.153846153846154
YMR188C,YNL306W,0.9183,0.0,0.99366,0.142857142857143
YDR337W,YJR101W,0.918,0.0,0.99391,0.105263157894737
YDR041W,YJR113C,0.9179,0.0,0.99985211672,0.0714285714285714
YDR237W,YDR322W,0.9174,0.0,0.999742,0.105263157894737
YKL167C,YKR006C,0.9171,0.0,0.991564,0.0
YDR175C,YKL155C,0.9164,0.0,0.999,0.0869565217391304
YDR175C,YNL306W,0.9156,0.0,0.992404,0.05
YKL155C,YPL118W,0.9154,0.0,0.998,0.0555555555555556
YDR337W,YNL306W,0.9151,0.0,0.999451,0.2
YBL090W,YDR041W,0.9144,0.0,0.994735,0.0526315789473684
YBL090W,YDR175C,0.9142,0.0,0.99434,0.0909090909090909
YBL090W,YMR188C,0.9142,0.0,0.99663,0.125
YKL155C,YOR158W,0.9138,0.0,0.998,0.157894736842105
YDR041W,YIL093C,0.9137,0.0,0.991,0.0833333333333333
YIL093C,YPL118W,0.9136,0.0,0.992,0.1
YCR046C,YNL252C,0.9135,0.0,0.998,0.0666666666666667
YGL129C,YOR158W,0.9128,0.0,0.991,0.166666666666667
YBL090W,YDR337W,0.9125,0.0,0.9943,0.173913043478261
YBR146W,YJR113C,0.9125,0.0,0.996250024,0.0526315789473684
YKL155C,YNL306W,0.9124,0.0,0.99,0.111111111111111
YDR175C,YGL129C,0.9122,0.0,0.993408,0.142857142857143
YDR116C,YDR237W,0.9116,0.0,0.998907193174,0.0952380952380952
YDR347W,YIL093C,0.9113,0.0,0.99919,0.0
YJR101W,YPL118W,0.9109,0.0,0.993466,0.0909090909090909
YDR337W,YJR113C,0.9109,0.0,0.999532259488,0.0
YJR113C,YNL306W,0.9103,0.0,0.999,0.0769230769230769
YKL155C,YMR188C,0.91,0.0,0.99,0.0769230769230769
YGL129C,YNL306W,0.9099,0.0,0.991,0.0555555555555556
YBR146W,YNR036C,0.9095,0.0,0.959514269328,0.1
YGL129C,YMR188C,0.9094,0.0,0.991,0.125
YBR146W,YIL093C,0.909,0.0,0.992,0.0588235294117647
YDR175C,YOR158W,0.9089,0.0,0.999604,0.15
YDR322W,YMR024W,0.9089,0.0,0.99809,0.09375
YDR175C,YPL118W,0.9083,0.0,0.993392,0.0526315789473684
YJR101W,YNR036C,0.908,0.0,0.874,0.0
YCR071C,YDR116C,0.9075,0.0,0.999204409,0.0869565217391304
YDR175C,YMR188C,0.9073,0.0,0.99451,0.115384615384615
YDR337W,YMR188C,0.9072,0.0,0.99601695444,0.185185185185185
YBL090W,YIL093C,0.9071,0.0,0.999,0.0714285714285714
YDR337W,YPL118W,0.907,0.0,0.995725,0.0
YDR337W,YOR158W,0.9064,0.0,0.9963,0.130434782608696
YMR188C,YPL118W,0.9063,0.0,0.995005,0.0
YDR347W,YJR101W,0.9061,0.0,0.999831268,0.0
YOR158W,YPL118W,0.9058,0.0,0.997345,0.0625
YBR146W,YOR158W,0.9054,0.0,0.991,0.0909090909090909
YMR112C,YPR168W,0.9053,0.0,0.999,0.05
YBR146W,YNL306W,0.9049,0.0,0.993208,0.1
YDR322W,YNL252C,0.9047,0.0,0.999742,0.142857142857143
YGL129C,YJR113C,0.9046,0.0,0.999,0.0625
YJR113C,YKL155C,0.9046,0.0,0.999,0.0588235294117647
YJR101W,YOR158W,0.9044,0.0,0.999469,0.153846153846154
YJR101W,YNL306W,0.9041,0.0,0.994294,0.181818181818182
YBL090W,YGL129C,0.904,0.0,0.991,0.1
